,Magnitude,Repute,Summary
Rs187238(G;G),2.5,Bad,"hypertension increases risk 3.75x for sudden cardiac death"
Rs17235409(G;G),0,Good,"common in complete genomics"
Rs4988496(G;G),0,Good,"common in complete genomics"
Rs10895068(A;A),1.5,Bad,"2.5x increased odds of breast cancer among hormone-using postmenopausal women"
Rs10895068(A;G),1.5,Bad,"2.5x increased odds of breast cancer among hormone-using postmenopausal women"
Rs16022(G;G),0,Good,"common in clinvar"
Rs16023(A;A),0,Good,"common in clinvar"
Rs1050450(C;C),0,Good,"common in clinvar"
Rs28897759(A;A),0,Good,"common in complete genomics"
Rs2303428(T;T),0,Good,"common in clinvar"
Rs1867277(A;A),2,Bad,"2x increased risk for thyroid cancer"
Rs1867277(A;G),1.5,Bad,"1.5x increased risk for thyroid cancer"
Rs36119840(G;G),0,Good,"common in complete genomics"
Rs11558538(C;C),0,Good,"common on affy axiom data"
Rs1065852(C;T),2,Bad,"Carrier of one CYP2D6 decreased or non-functioning variant."
Rs12777823(A;A),3.5,Bad,"Avoid Plavix, higher risk for adverse cardiovascular events. CYP2C19 poor metabolizer."
Rs12777823(A;G),2.5,Bad,"Avoid Plavix, higher risk for adverse cardiovascular events."
Rs12777823(G;G),0,Good,"common in clinvar"
Rs3918290(A;A),3.5,Bad,"5-fluorouracil toxicity, dihydropyrimidine dehydrogenase deficiency"
Rs3918290(A;G),3,Bad,"some 5-fluorouracil toxicity, dihydropyrimidine dehydrogenase deficiency carrier"
Rs10825269(C;C),0,Good,"common in clinvar"
Rs5888(C;T),2.5,Bad,"3x higher risk for age-related macular degeneration"
Rs1057868(T;T),1.6,,"1.6x higher overall CYP3A activity"
Rs1800462(C;G),2.5,Bad,"detoxifying ability of certain drugs may be diminished"
Rs1800460(A;G),3,Bad,"(TPMT*3B) impaired drug metabolism"
Rs1142345(A;G),3,Bad,"TPMT*3C . impaired drug metabolism"
Rs3764880(G;G),0,,normal
Rs3764880(A;G),1.5,Bad,"possible 1.2 - 1.8x increased tuberculosis susceptibility in females"
Rs3764880(A;A),1.6,Bad,"1.2 - 1.8x increased tuberculosis risk"
Rs5743708(A;A),3,Bad,"6x increased risk of tuberculosis"
Rs1695(G;G),2.1,Bad,"3.5x asthma risk in certain populations"
Rs2280714(A;A),1.5,Bad,"1.4x increased risk of SLE"
Rs1047031(A;A),1.3,Bad,"1.3x increased risk for periodontitis"
Rs2981745(C;T),1.6,Bad,"1.6x increased risk for breast cancer in females over 60"
Rs2981745(T;T),1.6,Bad,">1.6x increased risk for breast cancer in females over 60"
Rs11523871(A;C),1.6,Bad,"1.6x increased breast cancer risk for women over 60"
Rs11523871(C;C),1.6,Bad,">1.6x increased breast cancer risk for women over 60"
Rs9306160(C;T),1.2,Good,"0.75x (reduced) risk for metastasis in LN-/ER+ breast cancer patients"
Rs9306160(T;T),1.3,Good,"0.75x (reduced) risk for metastasis in LN-/ER+ breast cancer patients"
Rs70991108(-;-),1.5,,"high folic acid intake leads to high unmetabolized folic acid circulating levels, whereas low intake leads to low RBC folate"
Rs1434536(A;A),2,Bad,"1.94x increased breast cancer risk"
Rs1434536(A;G),1.3,Bad,"1.29x increased breast cancer risk"
Rs4641(C;C),0,Good,"common in clinvar"
Rs7041(T;T),1.5,,"ex-smokers at 2x higher risk for COPD; supplement with Vitamin D?"
Rs4588(C;C),0,Good,"common in clinvar"
Rs4481887(G;G),1.5,,"least likely to be able to smell asparagus metabolites in urine"
Rs4481887(A;A),2,,"most likely to smell asparagus metabolites in urine"
Rs13181(G;G),2,Bad,">1.12x increased risk for cutaneous melanoma; possible increase in ovarian cancer risk"
Rs16996652(A;A),0,Good,"common in complete genomics"
Rs16910526(T;T),0,Good,normal
Rs16910526(G;G),3,,
Rs17646946(A;A),2.5,,"straighter curl"
Rs7349332(T;T),2.5,,"hair curl"
Rs2230600(G;G),1.9,,
Rs3738401(A;A),2,,
Rs793862(A;A),2,Bad,"3-5x dyslexia risk"
Rs751229(G;G),2,,
Rs53576(G;G),2.5,Good,"Optimistic and empathetic; handle stress well"
Rs1052553(A;A),0,Good,"common in clinvar"
Rs1801133(T;T),2.8,Bad,"homozygous for C677T of MTHFR = 10-20% efficiency in processing folic acid = high homocysteine, low B12 and folate levels"
Rs1801133(C;T),2.2,Bad,"1 copy of C677T allele of MTHFR = 65% efficiency in processing folic acid"
Rs1801131(A;A),0,Good,"most common genotype"
Rs12722477(C;C),0,,
Rs1676486(A;A),2,,">1.4x risk for LDH"
Rs1676486(A;G),2,,"1.4x risk for LDH"
Rs2143340(T;T),0,Good,common
Rs2254958(T;T),0,Good,common
Rs2518224(A;C),0,,normal
Rs8053188(C;C),0,Good,"common in complete genomics"
Rs8053188(T;T),0,,"Considered benign in ClinVar"
Rs16940342(A;A),0,Good,"common in clinvar"
Rs249954(C;C),0,Good,"common in clinvar"
Rs249954(T;T),1.2,Bad,"Potentially increased risk of Breast Cancer"
Rs447529(G;G),0,Good,"common in clinvar"
Rs447529(C;C),0,,"Benign variant"
Rs3738414(A;A),1.6,Good,"0.4x decreased risk of breast cancer"
Rs10801935(C;C),1.6,Good,"0.3x decreased risk of breast cancer"
Rs10754339(A;G),1.3,,"1.3x increased risk of breast cancer"
Rs10754339(G;G),1.4,,"1.45x increased risk of breast cancer"
Rs1537415(C;G),1.6,Bad,"1.6x increased risk for periodontitis"
Rs1537415(G;G),2,Bad,"2x increased risk for periodontitis"
Rs632148(C;C),0,Good,"common in clinvar"
Rs10754339(A;A),0,Good,normal
Rs5082(T;T),0,,"normal risk"
Rs28934270(G;G),0,,
Rs28934269(A;A),0,,
Rs28933405(G;G),0,Good,"common in complete genomics"
Rs28932774(T;T),0,,
Rs12402521(G;G),2,,"12–15 mmHg higher blood pressure when under stress"
Rs1800443(G;T),3,,"Uncommon DRD4 polymorphism"
Rs1800955(C;T),2,,"increased susceptibility to novelty seeking"
Rs5742913(C;C),0,,
Rs7495174(A;A),0,Good,"blue/gray eyes more likely"
Rs10033464(G;G),1.9,Good,"0.92x decreased risk of Atrial Fibrillation and cardioembolic stroke."
Rs10033464(G;T),3,Bad,"1.28x increased risk of Atrial Fibrillation and cardioembolic stroke."
Rs10033464(T;T),3,Bad,"1.4x increased risk of Atrial Fibrillation and cardioembolic stroke"
Rs1004819(C;T),1,Bad,"1.5x risk of Crohn's disease, 1.2 for developing ankylosing spondylitis"
Rs10050860(T;T),1.7,Good,"Half the risk (about 0.05%) of Ankylosing Spondylitis."
Rs10050860(C;T),1.4,Good,"0.71x lower risk for Ankylosing Spondylitis."
Rs10086908(C;C),2,Bad,"1.7x increased risk for prostate cancer"
Rs10086908(C;T),2,Bad,"1.7x increased risk for prostate cancer"
Rs10086908(T;T),0,Good,"normal risk"
Rs10090154(C;C),0,,normal
Rs10090154(C;T),2,Bad,"1.4x increased risk for prostate cancer"
Rs10090154(T;T),2.1,Bad,"1.4x increased risk for prostate cancer"
Rs1010(A;A),0.5,,"normal risk of MI"
Rs1010(A;G),1,Bad,"1.75x risk of MI"
Rs1010(G;G),1.75,Bad,"1.75x risk of MI"
Rs1012729(G;G),0,Good,"altered pediatric blood pressure"
Rs10134944(T;T),1.3,Bad,"1.3x risk of bipolar disorder"
Rs10134944(C;T),1.4,Bad,"1.4x risk of bipolar disorder."
Rs1015362(A;G),2,Bad,"2-4x higher risk of sun sensitivity if part of risk haplotype."
Rs1015362(G;G),2,Bad,"2-4x higher risk of sun sensitivity if part of risk haplotype."
Rs10181656(C;C),0,Good,common/normal
Rs10181656(C;G),1.7,Bad,"1.7x increased SLE risk"
Rs10181656(G;G),2,Bad,"1.7x increased SLE risk"
Rs10210302(T;T),1.8,Bad,"1.8x increased risk for Crohn's disease"
Rs10210302(C;T),1.2,Bad,"1.2x increased risk for Crohn's disease"
Rs10239794(C;C),1,,"Probably benign; one 2008 study reports 1.3x higher risk for ALS"
Rs10239794(C;T),1,,"Probably benign; only one 2008 study reports 1.3x higher risk for ALS"
Rs10248420(G;G),1.1,Good,"possibly more likely to remit on certain antidepressants"
Rs10248420(A;G),0,,"possibly, normal rate of remission on certain antidepressants"
Rs10248420(A;A),1.1,Bad,"possibly less likely to remit on certain antidepressants"
Rs10250779(T;T),2,Bad,"possible exercise-inducing cramping in African-Americans"
Rs10260404(C;T),1.5,Bad,"1.20x risk of developing ALS"
Rs10260404(C;C),2,Bad,"1.60x risk of developing ALS"
Rs1026732(A;A),2,Good,"<0.70x risk for restless legs"
Rs1026732(A;G),1.5,Good,"0.70x risk for restless legs"
Rs1034428(C;C),0,Good,common/normal
Rs1042173(T;T),0,Bad,"among alcoholics, likely to be heavier drinkers"
Rs1042522(C;G),2,Good,"Slightly increased lifespan?"
Rs1042838(G;T),2,Bad,"1.28x risk for endometrial ovarian cancer; overlaps with rs608995"
Rs1042838(T;T),3,Bad,"1.42x risk for endometrial ovarian cancer; overlaps with rs608995"
Rs1043994(A;A),0,Good,?
Rs1043994(G;G),0,,common
Rs1047031(A;G),0.5,Good,normal
Rs1047031(G;G),0,Good,normal
Rs1047552(T;T),0,Good,normal
Rs1048661(G;T),0.5,,"possibly higher glaucoma risk?"
Rs10488631(C;C),3,Bad,"2x increased risk of developing SLE; 3.2x increased risk of developing primary biliary cirrhosis; and 3.4x increased risk of developing Sjögren's syndrome"
Rs10488631(C;T),2,Bad,"2x increased risk of developing SLE; 1.6x increased risk of developing primary biliary cirrhosis; and 1.7x increased risk of developing Sjögren's syndrome"
Rs1467558(G;G),0,Good,"common on affy axiom data"
Rs10492519(G;G),2,Bad,"Increased risk of developing prostate cancer"
Rs10492519(A;G),1.5,Bad,"Slightly increased risk of developing prostate cancer"
Rs1049353(A;G),1,Good,"less likely depressed in response to stress"
Rs1049353(G;G),1,Good,"Likely better response to antidepressants if male"
Rs10495584(A;A),1.1,,"Normal (higher) blood pressure."
Rs10495584(A;G),2,Good,"Lowers men's blood pressure by -6.3/-3.8 mm Hg."
Rs2293347(G;G),1.1,Good,"among NSCLC patients, better Gefitinib response; common"
Rs10495584(G;G),2.5,Good,"Lowers men's blood pressure by -6.3/-3.8 mm Hg."
Rs10937275(G;G),0,Good,
Rs2844682(C;C),0,Good,"common in complete genomics"
Rs10498345(T;T),0,Good,normal
Rs1050152(C;T),2,Bad,"2.1x increased risk of Crohn's disease"
Rs1050829(A;G),2.2,Bad,"G6PD Type A/B; possibly benign though"
Rs2075650(A;A),0,Good,"normal; some association with greater longevity"
Rs10513025(C;C),2.1,Good,">0.55x reduced risk for autism"
Rs10513025(C;T),2,Good,"0.55x reduced risk for autism"
Rs10513025(T;T),0.1,Bad,"normal risk of Autism"
Rs1052133(C;C),0,Good,normal
Rs1052133(C;G),2.1,Bad,"normal for bladder cancer risk; 1.9x increased risk for gallbladder cancer"
Rs1052133(G;G),2.2,Bad,"2x increased bladder cancer risk; 4.5x increased risk for gallbladder cancer"
Rs1056836(G;G),2,Good,"0.3x decreased risk for prostate cancer"
Rs1057868(C;C),0,Good,normal
Rs1057909(G;G),4,Bad,"CYP2C9_42612A>G homozygote"
Rs1057909(A;G),3,,"carrier of one CYP2C9_42612A>G allele"
Rs1057911(A;T),3,,"carrier of one CYP2C9_50298A>T allele"
Rs1057911(T;T),3,,"CYP2C9_50298A>T homozygote"
Rs1061646(C;C),0,Bad,"1.16x increased risk for breast cancer"
Rs1063192(C;C),1.5,Good,"0.71x reduced risk of myocardial infarction"
Rs1063192(C;T),1.5,Good,"0.71x reduced risk of myocardial infarction"
Rs1063192(T;T),1,Good,"Normal risk of myocardial infarction"
Rs10757272(C;C),1,Good,"Normal risk for Coronary artery disease"
Rs10757272(C;T),1.5,Bad,"1.30x increased risk for Coronary artery disease"
Rs10757272(T;T),2,Bad,"1.54x increased risk for Coronary artery disease"
Rs10757278(A;A),1.9,Good,"0.78x reduced risk for Coronary Heart Disease. 0.77x reduced risk for Brain Aneurysm and Abdominal Aortic Aneurysm."
Rs10757278(A;G),2,Bad,"1.3x risk for Heart Attack. Normal risk for Abdominal Aortic Aneurysm and Brain Aneurysm."
Rs10757278(G;G),2.5,Bad,"1.6x risk for Heart Attack; 1.3x risk for Abdominal Aortic Aneurysm and Brain Aneurysm."
Rs10761659(G;G),0,Good,normal
Rs1076560(A;A),2,,"influences working memory"
Rs1080985(C;C),0.1,,"a common variant"
Rs1080985(C;G),0.1,,"a common variant"
Rs10811661(C;C),0,Good,normal
Rs10811661(C;T),2,Bad,"1.2x increased risk for type-2 diabetes"
Rs10830963(C;C),0,Good,"normal risk of Type-2 Diabetes"
Rs10830963(C;G),2.7,Bad,"increased type-2 diabetes risk; higher gestational diabetes risk"
Rs10830963(G;G),3.1,Bad,"increased type-2 diabetes risk; higher gestational diabetes risk"
Rs10835638(G;G),0,,common
Rs10871777(A;G),2,Bad,"adults likely to be 0.22 BMI units higher"
Rs10871777(G;G),2.1,Bad,"adults likely to be 0.44 BMI units higher"
Rs10883365(A;G),1.5,Bad,"1.2x increased risk for developing Crohn's disease"
Rs10883365(G;G),2,Bad,"1.62x increased risk for developing Crohn's disease"
Rs10889677(A;A),1.5,Bad,"1.5x increased risk for certain autoimmune diseases"
Rs10889677(A;C),2,Bad,"1.5x increased risk for certain autoimmune diseases; 2x increased risk for Graves disease"
Rs10889677(C;C),2,Bad,"Baseline (average) risk for certain autoimmune diseases; however, 2.3x increased risk for Graves disease"
Rs10892759(A;A),1.01,Good,"reduced risk for Alzheimers?"
Rs10895068(G;G),0,Good,normal
Rs10897346(C;C),3,Bad,"If depressed, 2.6x more likely to not respond to antidepressants"
Rs10897346(C;T),3,Bad,"If depressed, 2.6x more likely to not respond to antidepressants"
Rs10897346(T;T),0,Good,normal
Rs10958409(G;G),0,,normal
Rs10980705(C;C),1,Good,"Normal risk for knee osteoarthritis"
Rs10980705(C;T),1.5,Bad,"2.3x increased risk for knee osteoarthritis"
Rs10980705(T;T),2,Bad,"3.7x increased risk for knee osteoarthritis"
Rs10984447(A;G),2,Bad,"1.17x increased risk for multiple sclerosis"
Rs10984447(G;G),1,Good,"Normal risk for multiple sclerosis"
Rs11045585(A;A),2,Good,"24% chance (lower than average) of docetaxel-induced leukopenia/neutropenia"
Rs11045585(A;G),2,Bad,"63% chance (higher than average) of docetaxel-induced leukopenia/neutropenia"
Rs11110912(C;G),0.1,Bad,"Maybe some quite minor increase in high blood pressure risk; data not replicated though"
Rs11110912(G;G),0.1,Bad,"Maybe some quite minor increase in high blood pressure risk; data not replicated though"
Rs11136000(C;C),0,,normal
Rs11136000(C;T),1.5,Good,"0.84x decreased risk for Alzheimer's disease"
Rs11136000(T;T),1.5,Good,"0.84x decreased risk for Alzheimer's disease"
Rs11171739(C;C),2,Bad,"1.75x risk of developing Type-1 diabetes"
Rs11200638(A;G),2,Bad,"~2x increased risk of age related macular degeneration"
Rs11209026(A;G),2.5,Good,"0.26x lower risk for certain autoimmune diseases."
Rs1121980(T;T),3,Bad,"Moderate increase (2.76x) in risk for obesity"
Rs1126742(T;T),0,Good,"higher hypertension risk"
Rs1126809(A;G),0,Good,"slight increase in skin cancer risk"
Rs1128503(T;T),0,Bad,"likely to require more methadone during heroin withdrawal"
Rs1128535(A;A),0.5,Bad,normal
Rs1128535(A;G),1.8,Good,"0.77x risk for Crohn's disease"
Rs1128535(G;G),2,Good,"reduced risk (0.77x) for Crohn's disease"
Rs1135840(C;C),2,,"Homozygous for CYP2D6 variants (non-CYP2D6*1)"
Rs1135840(C;G),1.5,,"Carrier of at least one CYP2D6 variant (non-CYP2D6*1)"
Rs1135840(G;G),0,Good,normal
Rs11362(A;G),1,,
Rs1136287(C;T),1.8,Bad,"1.5x increased risk of wet ARMD in a Taiwanese Chinese population"
Rs1136410(C;C),2.4,Good,"0.80x reduced risk for glioblastoma as well a 84% in CAD risk"
Rs1136410(C;T),2,Good,"0.80x reduced risk for glioblastoma"
Rs1136410(T;T),0,,normal
Rs1143634(C;C),0,Good,normal
Rs1143674(A;A),1,Bad,"1.3x increased autism risk"
Rs1143674(A;G),1,Bad,"1.3x increased autism risk"
Rs1143674(G;G),0.1,Good,"normal (risk of Autism)"
Rs1143679(A;A),3,Bad,">1.78x increased risk for SLE"
Rs1143679(A;G),2.4,Bad,"1.78x increased risk for SLE"
Rs11465804(G;G),1.5,Good,"0.68x lower risk for spondylitis"
Rs11465804(G;T),1.5,Good,"0.68x lower risk for spondylitis"
Rs11635424(A;A),2,Good,"<0.70x risk for restless legs"
Rs11635424(A;G),1.5,Good,"0.70x risk for restless legs"
Rs11650354(T;T),2,Bad,"8x risk for allergic asthma"
Rs1165205(A;A),1.5,Good,"0.85x decreased gout risk"
Rs1165205(A;T),1.4,Good,"0.85x decreased gout risk"
Rs1165205(T;T),1,Bad,normal
Rs11718863(A;A),0,Good,normal
Rs11887534(C;C),3,Bad,"7x increased risk for gallstones"
Rs11887534(C;G),2.1,Bad,"2x increased risk for gallstones"
Rs11983225(C;C),0,,
Rs11983225(C;T),0,,
Rs11983225(T;T),0,,
Rs12037606(A;A),2,Bad,"1.52x risk of developing Crohn's disease"
Rs12037606(G;G),1,Good,"Normal risk of developing Crohn's disease"
Rs12094543(A;A),0,Bad,">1.3x risk of type I diabetes"
Rs1219648(G;G),2.1,Bad,"1.64x risk for breast cancer"
Rs1229984(A;G),2,Good,"0.56x decreased risk of oral/throat cancers"
Rs1234(A;A),2,Bad,"summary of something bad"
Rs1234(A;C),1.5,Good,"heterozygote for something good"
Rs1234(C;C),0,,normal
Rs12469063(A;G),1.5,Bad,"Slightly increased risk of developing restless legs syndrome"
Rs12469063(G;G),2,Bad,"Increased risk of developing restless legs syndrome"
Rs12593813(A;A),2,Good,"<0.71x risk for restless legs"
Rs12593813(A;G),1.5,Good,"0.71x risk for restless legs"
Rs12720461(T;T),2,Bad,"CYP1A2*1K_-729C>T homozygote, decreased CYP1A2 activity"
Rs12720461(C;T),2,Bad,"carrier of one CYP1A2*1K_-729C>T allele, decreased CYP1A2 activity"
Rs12721627(C;C),0,Good,normal
Rs12721629(C;C),0,Good,normal
Rs12721629(T;T),2.5,,"CYP3A4*12 homozygote"
Rs12913832(G;G),2.5,,"blue eye color, 99% of the time"
Rs12936511(C;C),0,Good,normal
Rs12979860(C;C),2,Good,"~80% of such hepatitis C patients respond to treatment"
Rs12979860(C;T),2.5,Bad,"~20-40% of such hepatitis C patients respond to treatment"
Rs12979860(T;T),3,Bad,"~20-25% of such hepatitis C patients respond to treatment"
Rs13149290(C;C),1.5,Bad,"Slightly increased risk of developing prostate cancer"
Rs131702(G;G),0.2,,
Rs13181(G;T),1.5,Bad,"1.12x increased risk for cutaneous melanoma"
Rs13207033(A;A),2,Good,"reduced risk of rheumatoid arthritis"
Rs13266634(C;T),2.5,Bad,"increased risk for type-2 diabetes"
Rs1328674(G;G),0,Good,average
Rs1329428(G;G),2.1,Bad,"2x increased risk for macular degeneration"
Rs1333048(A;C),2,Bad,"1.3x increased coronary artery disease risk"
Rs13387042(G;G),0,,normal
Rs1343151(C;C),0,,"normal risk"
Rs1360780(C;T),2,Bad,"1.3x increased risk for depression"
Rs1360780(T;T),2.1,Bad,"1.3x increased risk for depression"
Rs1375144(C;T),1.3,Bad,"1.32x increased risk of developing bipolar disorder (one study)"
Rs140701(A;A),1.5,Bad,"Increased risk for anxiety disorders"
Rs140701(A;G),1.5,Bad,"Increased risk for anxiety disorders"
Rs140701(G;G),1,Good,"Normal risk for anxiety disorders"
Rs1421085(C;C),3.1,Bad,"~1.7x increased obesity risk"
Rs1421085(C;T),2.5,Bad,"~1.3x increased obesity risk"
Rs1434536(G;G),0,Good,normal
Rs1447295(A;A),1.7,Bad,"1.7x increased risk of prostate cancer"
Rs1447295(A;C),1.4,Bad,"1.4x increased risk of prostate cancer"
Rs144848(G;T),1.5,Bad,"very slightly increased breast cancer risk"
Rs1495377(C;C),0,Good,normal
Rs1501299(A;C),2,Good,"slightly lower risk of breast cancer"
Rs1537415(C;C),0,,normal
Rs1571801(A;A),1.5,Bad,">1.36x risk for prostate cancer"
Rs1585215(A;A),0,Good,normal
Rs1585215(A;G),2,Bad,"2x increased risk for Hodgkin lymphoma"
Rs1585215(G;G),2.1,Bad,"3.5x increased risk for Hodgkin lymphoma"
Rs1611115(T;T),0,Bad,"somewhat more associated with impulsiveness and adult ADHD"
Rs16847548(C;T),1.3,Bad,"1.3x increased risk for sudden cardiac death in Caucasians"
Rs16890979(C;C),0,Good,"3.4x risk of gout"
Rs16890979(T;T),2,Good,"lower systolic blood pressure, serum uric acid and gout risk"
Rs16947(A;A),0,Good,"Homozygous for CYP2D6 variants (non-CYP2D6*1)"
Rs16969968(A;G),2.5,Bad,"slightly higher risk for nicotine dependence, lower risk for cocaine dependence"
Rs17001266(-;-),2,Bad,"1.58x increased risk for schizophrenia in males"
Rs17001266(-;C),2,Bad,"1.58x increased risk for schizophrenia in males"
Rs17001266(C;C),0,Good,normal
Rs17173608(T;T),0,Good,normal
Rs17221417(G;G),2,Bad,"1.9x higher risk for Crohn's disease"
Rs17221417(C;G),1.5,Bad,"1.3x higher risk for Crohn's disease"
Rs17228212(C;T),2,Bad,"1.26x increased risk for heart disease"
Rs17238540(T;T),0,Good,common
Rs17244841(A;A),0,Good,"more responsive to statin treatment"
Rs17300539(A;A),1,Bad,"higher adiponectin levels"
Rs17300539(G;G),1,Bad,"increased risk of insulin resistance"
Rs1734791(A;A),2,Bad,"1.4x increased risk for lupus"
Rs1734791(A;T),2,Bad,"1.4x increased risk for lupus"
Rs17376328(G;G),0,Good,normal
Rs17435(A;T),2,Bad,"1.4x increased risk for lupus"
Rs17435(T;T),2,Bad,"1.4x increased risk for lupus"
Rs174537(T;T),2,Good,"lower LDL-C and total cholesterol"
Rs174575(C;C),0,,
Rs17482753(G;G),0,Good,normal
Rs17576(A;A),2,,"normal risk for lung cancer; higher risk for MI"
Rs17576(G;G),2,Bad,"higher risk for lung cancer, and COPD in smokers; normal risk for MI"
Rs17696736(G;G),2.5,Bad,"1.94x risk of type-1 diabetes"
Rs17782313(C;C),2.5,Bad,"adults likely to be 0.44 BMI units higher"
Rs1784931(C;C),1.01,Good,"reduced risk for Alzheimers?"
Rs1799724(C;T),2,Bad,"if ApoE4(-), 1.6x risk of AD; if (+), 6.6x risk"
Rs1799724(T;T),2,Bad,"if ApoE4(-), 1.6x risk of AD; if (+), 6.6x risk"
Rs1799732(-;-),2,Bad,"less favorable clinical outcome when on antipsychotics"
Rs1799732(-;C),2,Bad,"1.3x increased adenoma recurrence risk"
Rs1799732(C;C),0,Good,normal
Rs1799750(-;-),0,Good,normal
Rs1799750(-;G),0,Good,normal
Rs1799750(G;G),1.5,Bad,"in breast cancer patients, slightly higher risk for poorer prognosis"
Rs1799782(C;C),0,Good,"lower risk for skin cancer"
Rs1799782(C;T),1.3,,"1.3x increased risk for oral cancer among Asians"
Rs1799782(T;T),1.4,,"1.4x increased risk for oral cancer among Asians"
Rs1799853(C;T),1.5,Bad,"~20% reduction in warfarin metabolism; some NSAID risk"
Rs1799884(A;A),3,Bad,"2.7x increased risk for Type 2 Diabetes. Mothers have babies 54g heavier."
Rs1799884(A;G),2,Bad,"1.3x increased risk for Type 2 Diabetes. Mothers have babies 27g heavier."
Rs1799950(A;G),1.5,Bad,"very slightly increased breast cancer risk"
Rs1799963(A;A),7,Bad,"6.74x risk of thrombosis; 2-20x risk for cerebral stroke if PFO+"
Rs1799963(A;G),2.8,Bad,"2.8x risk of thrombosis; higher risk for cerebral stroke if PFO+"
Rs1799963(G;G),0,Good,"normal/common risk of thrombosis"
Rs1799990(A;G),2.1,Good,"Resistance to vCJD (PrP 129 Met/Val heterozygote), 4.6x reduced risk of sporadic CJD and 0.87x reduced risk for late-onset Alzheimer in a Caucasian population"
Rs1800012(G;G),0,Good,normal
Rs1800012(T;T),2,Good,"Complex; possibly lower risk of ACL ruptures, yet higher risk for bone loss and disc disease"
Rs1800255(A;G),1,,benign
Rs1800401(C;T),1,,"brown/black eyes more likely"
Rs1800407(A;G),1,,"green/hazel/brown/black eyes more likely"
Rs1800469(C;C),1,,"lower TGF-β1 levels, higher risk for COPD?"
Rs1800469(C;T),1,,"slightly higher TGF-β1 levels, higher risk for COPD?"
Rs1800469(T;T),1,,"higher TGF-β1 levels"
Rs1800587(C;C),0,Good,normal
Rs1800587(C;T),1.8,Bad,"Slightly higher risk for lumbar disc disease"
Rs1800587(T;T),2.3,Bad,"Increased waist circumference and a much greater risk of Intervertebral disc disease"
Rs1800629(A;G),2,Bad,"complex; generally higher risk for certain diseases"
Rs1800750(G;G),0,Good,"normal risk"
Rs1800860(A;A),0,Bad,"10% smaller kidneys as newborns"
Rs1800860(G;G),1,Good,"Normal sized kidneys as newborns"
Rs1800871(C;C),0,,"0.5x decreased risk for endometriosis"
